permno,month,ret_excess,mkt_excess,smb,hml,beta,size,bm
10026,2000-01-01,-0.07117317382097244,-0.047400000000000005,0.0579,-0.0189,0.343943339140876,-0.3550846832975018,0.5451887306252733
10026,2000-02-01,-0.04024771400094032,0.0245,0.2148,-0.0981,0.3016173085755452,-0.35547262788794864,0.5451887306252733
10026,2000-03-01,0.07326610146760941,0.052000000000000005,-0.1729,0.0823,0.30153011545367214,-0.35564835584830523,0.5451887306252733
10026,2000-04-01,-0.2027132030487061,-0.064,-0.0663,0.0725,0.4616498297424933,-0.35606195678416236,0.5451887306252733
10026,2000-05-01,-0.07166667014360428,-0.044199999999999996,-0.0611,0.0483,0.46932346038260314,-0.3566588699822021,0.5451887306252733
10026,2000-06-01,0.1976806751489639,0.0464,0.128,-0.08410000000000001,0.5111131170197223,-0.35682136167280737,0.5451887306252733
10026,2000-07-01,-0.1726321659564972,-0.025099999999999997,-0.0308,0.0833,0.6060117610757267,-0.35707545598826707,0.6575366393228709
10026,2000-08-01,-0.05542016878724098,0.0703,-0.0063,-0.0137,0.4747688712021221,-0.3580072662746729,0.6575366393228709
10026,2000-09-01,-0.08917079428434371,-0.0545,-0.0173,0.0717,0.4398545478462704,-0.3585501546112678,0.6575366393228709
10026,2000-10-01,0.03304734247326851,-0.0276,-0.0393,0.0564,0.39398597201990776,-0.35879348409169265,0.6575366393228709
10026,2000-11-01,0.09722558101415629,-0.1072,-0.0339,0.1234,0.02768912904294123,-0.359743469846006,0.6575366393228709
10026,2000-12-01,0.1300210905075073,0.011899999999999999,0.0073,0.076,0.030435753675238174,-0.35856245615897764,0.6575366393228709
10026,2001-01-01,-0.09461933174133301,0.0313,0.0668,-0.051100000000000007,-0.05123980514902787,-0.3572582575287606,0.6575366393228709
10026,2001-02-01,0.049261224520206454,-0.1005,-0.0074,0.12480000000000001,-0.2442259486011962,-0.35956893637593096,0.6575366393228709
10026,2001-03-01,0.038435660618543616,-0.0726,0.0027,0.0643,-0.282106601312074,-0.3595594274759646,0.6575366393228709
10026,2001-04-01,0.221378839468956,0.0794,0.005600000000000001,-0.046900000000000004,-0.17342860061092086,-0.3599955935886057,0.6575366393228709
10026,2001-05-01,0.133207732963562,0.0072,0.025,0.0336,-0.17799466215988632,-0.3601017062174034,0.6575366393228709
10026,2001-06-01,-0.056623161870241176,-0.0194,0.06269999999999999,-0.0113,-0.1654373291829269,-0.35983432253265246,0.6575366393228709
10026,2001-07-01,0.05704514545202255,-0.0213,-0.04190000000000001,0.0521,-0.18330979255216046,-0.36029539564284935,0.9949436965896774
